,pid1,pid2,cnt,throughput_avg,throughput_std,total_bytes,total_timespent,city1,city2,fips_code1,fips_code2,continent_code1,continent_code2,isp1,isp2,min_ts,max_ts,cnt_neighbour
6439,8f0f5c09-4617-4eb9-b9bd-bc957879a728,a3a9b32f-2eab-4f67-983e-a34851e331ab,3,296.28818537839885,153.6429744250968,3848360,15028,Herstal,Khouribga,BE,MO,Western Europe,Northern Africa,VOO,Orange Morocco,2020-07-03 21:32:50.644000+00:00,2020-07-03 21:37:22.760000+00:00,20
10502,e7a5b9c4-c06c-4376-82cc-0773ada9cac1,231d3a4e-10f1-4d31-b8f1-4505a56a11fb,2,265.325005647222,88.8381408970137,1838640,7310,Orléans,Santander,FR,SP,Western Europe,Southern Europe,Bouygues Telecom,Orange Espana,2020-07-03 19:14:37.963000+00:00,2020-07-03 19:14:41.003000+00:00,28
1330,1f2ccf3b-2b6a-42cd-90af-9e7e78d9e26b,ee10de18-471f-4dfe-b176-996eb317e881,19,394.25473277160336,85.83605636861728,24317800,64933,Oslo,Minneapolis,NO,US,Northern Europe,Northern America,Blix Solutions,Arvig Enterprises,2020-07-03 19:51:58.351000+00:00,2020-07-03 20:06:03.724000+00:00,6
5656,7c3a7ead-7421-4961-8777-92fb89c83701,c7eb606c-59dd-443e-b935-1c22d1f034d2,5,96.34886084123433,11.472029273199354,2236824,23512,Mrirt,Ghent,MO,BE,Northern Africa,Western Europe,Maroc Telecom,Scarlet Belgium,2020-07-03 18:20:04.791000+00:00,2020-07-03 18:20:33.087000+00:00,11
3162,4291192d-c973-469f-a821-b579681ce33d,632f6280-0baa-4aef-b098-eb3ecdb4f997,142,274.52332132907674,59.13456525545903,182846544,694669,Herstal,Cardiff,BE,UK,Western Europe,Northern Europe,VOO,Virgin Media,2020-07-03 00:48:22.721000+00:00,2020-07-03 01:16:05.932000+00:00,11
2549,39fcdfaf-5a14-4759-a8cb-7c1b1d6f0ad4,2abb7517-a450-4090-8a7b-0652ff43873d,25,220.0473968464037,71.39462631685363,5952456,31241,Bouïra,Madrid,AG,SP,Northern Africa,Southern Europe,Algerie Telecom,Telefonica de Espana Static IP,2020-07-03 13:11:07.104000+00:00,2020-07-03 13:16:12.106000+00:00,16
508,0a783613-f23b-490d-a235-a24376ab5e97,4b06a84d-0e7b-461e-8f64-f666bf2ae174,3,281.95598072674477,63.90265832168685,3887464,14289,Tangier,Zurich,MO,SZ,Northern Africa,Western Europe,Maroc Telecom,Swisscom,2020-07-03 18:06:24.026000+00:00,2020-07-03 18:06:32.528000+00:00,13
6355,8d87fdf7-2edc-4bab-932c-c7c3cb9cd64b,c86c79bf-453b-4332-98ff-1fbfede054f4,83,692.0502663825487,255.69750806069138,105612008,183484,Asnieres-sur-Seine,Bromma,FR,SW,Western Europe,Northern Europe,Free SAS,Com Hem,2020-07-03 21:45:22.615000+00:00,2020-07-03 22:11:48.294000+00:00,6
2779,3c3bd3a2-e0be-49e5-a3c0-29995ff86703,e0a6febb-704c-4961-9223-072a46e4b86b,6,244.71878507109741,34.76434603506527,7654608,31718,Paris,Rabat,FR,MO,Western Europe,Northern Africa,Wifirst S.A.S.,Maroc Telecom,2020-07-03 22:16:50.884000+00:00,2020-07-03 22:18:21.063000+00:00,11
9464,d0ea9a19-d507-44a6-9d28-3efbe6fdc91b,3b07d0d8-d4e8-4ccc-a790-acefbe0f0b6c,2,225.97764670828286,16.21194748753337,2545520,11280,Dortmund,Amsterdam,GM,NL,Western Europe,Western Europe,Unitymedia,Euronet Communications B.V.,2020-07-03 20:32:59.972000+00:00,2020-07-03 20:33:05.695000+00:00,10
